"","Visit.ID","Total_Richness","E_Richness","P_Richness","T_Richness","Clin_Richness","LL_Richness","Intol_Richness","Dom_Abund","Tol_Abund","Pred_Abund","Tot_Abund","Tol_Percent","Pred_Percent","Dom_Percent","Tot_Richness_Score","E_Richness_Score","P_Richness_Score","T_Richness_Score","Cling_Richness_Score","LL_Richness_Score","Intol_Richness_Score","Dom_Percent_Score","Pred_Percent_Score","Tol_Percent_Score","Overall.Score","Agency","WRIA.Number","Basin","Subbasin","Stream.or.River","Project","Visit.Date","Year","Lab.Name","Site.Code","Latitude","Longitude"
"1",1,24,4,5,3,12,6,3,328,5,19,500,1,3.8,65.6,3.80952380952381,4.28571428571429,5.71428571428571,2.5,4.11764705882353,5,4.28571428571429,4.31578947368421,1.4,9.76744186046512,45.1961164882109,"King County - Roads",7,"Lower Snoqualmie Basin","Harris Creek Subbasin","Ames Creek","ESA Water Quality","2006-09-07",2006,"ABR, Inc.","E2032",47.673641,-121.976412
"2",2,21,2,3,3,10,6,0,111,1,19,188,0.531914893617021,10.1063829787234,59.0425531914894,2.38095238095238,1.42857142857143,2.85714285714286,2.5,2.94117647058824,5,0,6.04143337066069,4.5531914893617,9.87629886194953,37.5787668592268,"King County - Roads",8,"Sammamish River Basin","Bear Creek Subbasin","Struve Creek","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","E1261",47.752179,-122.053336
"3",3,20,3,4,5,10,7,0,155,2,21,234,0.854700854700855,8.97435897435897,66.2393162393162,1.9047619047619,2.85714285714286,4.28571428571429,5,2.94117647058824,6.25,0,4.14754835807467,3.98717948717949,9.80123235937189,41.1747557228333,"King County - Roads",8,"Sammamish River Basin","Bear Creek Subbasin","Cottage Lake Creek tributary","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","E1264",47.730382,-122.079114
"4",4,22,2,4,4,13,7,2,286,67,31,500,13.4,6.2,57.2,2.85714285714286,1.42857142857143,4.28571428571429,3.75,4.70588235294118,6.25,2.85714285714286,6.52631578947369,2.6,6.88372093023256,42.1444905012188,"King County - Roads",8,"Sammamish River Basin","Bear Creek Subbasin","Cottage Lake Creek","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","E1168",47.743005,-122.084012
"5",6,21,4,3,5,14,7,4,266,2,48,500,0.4,9.6,53.2,2.38095238095238,4.28571428571429,2.85714285714286,5,5.29411764705882,6.25,5.71428571428571,7.57894736842105,4.3,9.90697674418605,53.5681369977612,"King County - Roads",8,"Sammamish River Basin","Bear Creek Subbasin","Stensland Creek","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","E2897",47.685647,-122.082046
"6",7,10,0,0,3,4,1,0,467,109,4,500,21.8,0.8,93.4,0,0,0,2.5,0,0,0,0,0,4.93023255813953,7.43023255813953,"King County - Roads",7,"Lower Snoqualmie Basin","Cherry Creek Subbasin","Margaret Creek","ESA Water Quality","2006-08-28",2006,"ABR, Inc.","E1297",47.766816,-121.901033
"7",8,30,7,6,4,19,8,6,114,1,35,243,0.411522633744856,14.40329218107,46.9135802469136,6.66666666666667,8.57142857142857,7.14285714285714,3.75,8.23529411764706,7.5,8.57142857142857,9.23326835607537,6.70164609053498,9.9042970619198,76.2768865785582,"King County - Roads",7,"Lower Snoqualmie Basin","Cherry Creek Subbasin","Cherry Creek - N Fork tributary","ESA Water Quality","2006-08-28",2006,"ABR, Inc.","E1239",47.763669,-121.927195
"8",9,28,6,5,6,17,9,6,111,3,25,255,1.17647058823529,9.80392156862745,43.5294117647059,5.71428571428571,7.14285714285714,5.71428571428571,6.25,7.05882352941176,8.75,8.57142857142857,10,4.40196078431373,9.72640218878249,73.3300436453651,"King County - Roads",7,"Lower Snoqualmie Basin","Cherry Creek Subbasin","Cherry Creek - N Fork","ESA Water Quality","2006-08-28",2006,"ABR, Inc.","E1078",47.750501,-121.911981
"9",10,24,5,5,3,15,10,2,48,0,25,148,0,16.8918918918919,32.4324324324324,3.80952380952381,5.71428571428571,5.71428571428571,2.5,5.88235294117647,10,2.85714285714286,10,7.94594594594595,10,64.4235369823605,"King County - Roads",7,"Lower Snoqualmie Basin","Cherry Creek Subbasin","Cherry Creek tributary","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","E1076",47.740329,-121.906761
"10",11,28,6,5,6,17,7,4,241,23,36,500,4.6,7.2,48.2,5.71428571428571,7.14285714285714,5.71428571428571,6.25,7.05882352941176,6.25,5.71428571428571,8.89473684210526,3.1,8.93023255813953,64.7695072153709,"King County - Roads",7,"Lower Snoqualmie Basin","Cherry Creek Subbasin","Cherry Creek","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","E1238",47.743547,-121.941534
