Taxon,TSN,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,TSN_OUT,OTU_BCG_MariNW,OTU_BSTI
Aaptos,48575,TRUE,Sponges excluded,DNI,DNI,FALSE,DNI,DNI
Ablabesmyia,128079,FALSE,,Ablabesmyia,Ablabesmyia,128079,Ablabesmyia,Ablabesmyia
Acalyptonotus,83508,FALSE,,DNI,Acalyptonotus,83508,Trombidiformes,DNI
Acamptocladius,128460,FALSE,,DNI,Acamptocladius,128460,Acamptocladius,DNI
Acar,79375,FALSE,,DNI,Acari,733321,Acari,DNI
Acari,733321,FALSE,,DNI,Acari,733321,Acari,DNI
Acarina,733321,FALSE,,DNI,Acari,733321,Acari,DNI
Acentrella,100801,FALSE,,DNI,Acentrella,100801,Acentrella,DNI
Acentrella insignificans,568572,FALSE,,Acentrella insignificans,Acentrella insignificans,568572,Acentrella insignificans,DNI
Acentrella insignificans complex,568572,FALSE,,Acentrella insignificans,Acentrella insignificans,568572,Acentrella insignificans,DNI
Acentrella turbida,568574,FALSE,,Acentrella turbida,Acentrella turbida,568574,Acentrella turbida,Acentrella turbida
Acerpenna,568546,FALSE,,DNI,Acerpenna,568546,Acerpenna,DNI
Acerpenna pygmaea,206620,FALSE,,DNI,Acerpenna pygmaea,206620,Acerpenna pygmaea,DNI
Achaeta,68560,FALSE,,DNI,Achaeta,68560,Oligochaeta,DNI
Acilius,112074,FALSE,,DNI,Acilius,112074,Acilius,DNI
Acilius abbreviatus,112080,FALSE,,DNI,Acilius,112074,Acilius,DNI
Acneus,114082,FALSE,,Acneus,Acneus,114082,Acneus,Acneus
Acricotopus,128463,FALSE,,DNI,Acricotopus,128463,Acricotopus,DNI
Acroneuria,102917,FALSE,I am skeptical of this ID,DNI,Perlodidae,102994,Perlodidae,DNI
Actinopterygii,0,TRUE,Fish,DNI,DNI,FALSE,DNI,DNI
Aedes,126234,FALSE,,DNI,Culicidae,125930,Culicidae,DNI
Aeshna,101603,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshna californica,0,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshna eremita,185978,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshna interrupta,185979,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshna juncea,185981,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshna palmata,592674,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshna umbrosa,101605,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshna walkeri,592682,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshna/Rhionaeschna,-267,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshnidae,101596,FALSE,,Aeshnidae,Aeshnidae,101596,Aeshnidae,DNI
Afghanurus,-243,FALSE,,Afghanurus,Afghanurus,-243,Afghanurus,Afghanurus
Afghanurus criddlei,-244,FALSE,,Afghanurus,Afghanurus criddlei,-244,Afghanurus criddlei,Afghanurus
Agabinae,728212,FALSE,,Agabinae,Agabinae,728212,Agabinae,DNI
Agabinus,112068,FALSE,,Agabinae,Agabinus,112068,Agabinus,DNI
Agabinus glabrellus,112068,FALSE,,Agabinae,Agabinus,112068,Agabinus,DNI
Agabinus sculpturellus,112068,FALSE,,Agabinae,Agabinus,112068,Agabinus,DNI
Agabus,111966,FALSE,,Agabinae,Agabus,111966,Agabus,DNI
Agabus lutosus,112056,FALSE,,Agabinae,Agabus,111966,Agabus,DNI
Agabus seriatus group,111966,FALSE,,Agabinae,Agabus,111966,Agabus,DNI
Agabus/Ilybius/Platambus/Ilybiosoma,728212,FALSE,,Agabinae,Agabinae,728212,Agabinae,DNI
Agapetus,117121,FALSE,,Agapetus,Agapetus,117121,Agapetus,Agapetus
Agathon,121230,FALSE,,Blephariceridae,Agathon,121230,Agathon,Blephariceridae
Agathon comstocki,121237,FALSE,,Blephariceridae,Agathon,121230,Agathon,Blephariceridae
Agraylea,115635,FALSE,,Agraylea,Agraylea,115635,Agraylea,DNI
Alaskaperla ovibovis,103317,FALSE,extreme southern range dubius ID,DNI,Chloroperlidae,103202,Chloroperlidae,DNI
Albertathyas,0,FALSE,,DNI,Albertathyas,0,Trombidiformes,DNI
Albertathyas montana,0,FALSE,,DNI,Albertathyas,0,Trombidiformes,DNI
Albia,83435,FALSE,,DNI,Albia,83435,Trombidiformes,DNI
Alisotrichia,181197,FALSE,"dubius ID as of 2022 known only from AZ, UT and TX",DNI,Hydroptilidae,115629,Hydroptilidae,DNI
Allocladius,-183,FALSE,,DNI,Allocladius,-183,Allocladius,DNI
Allocosmoecus,115969,FALSE,single species in genus,Allocosmoecus partitus,Allocosmoecus partitus,115970,Allocosmoecus partitus,DNI
Allocosmoecus partitus,115970,FALSE,single species in genus,Allocosmoecus partitus,Allocosmoecus partitus,115970,Allocosmoecus partitus,DNI
Allognosta,130160,FALSE,,Stratiomyidae,Allognosta,130160,Allognosta,DNI
Allomyia,116438,FALSE,,DNI,Allomyia,116438,Allomyia,DNI
Alloperla,103203,FALSE,,DNI,Alloperla,103203,Alloperla,DNI
Alotanypus,206646,FALSE,,Alotanypus,Alotanypus,206646,Alotanypus,DNI
Alotanypus/Apsectrotanypus,127994,FALSE,,DNI,Tanypodinae,127994,Tanypodinae,DNI
Altmanella,-185,FALSE,,Lumbriculidae,Altmanella,-185,Oligochaeta,Lumbriculidae
Ambrysus,103614,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Ameletus,100996,FALSE,,Ameletus,Ameletus,100996,Ameletus,Ameletus
Americorophium,656484,FALSE,,DNI,Americorophium,656484,Americorophium,DNI
Americorophium spinicorne,656746,FALSE,,DNI,Americorophium,656484,Americorophium,DNI
Ametor,112890,FALSE,,Hydrophilidae,Ametor,112890,Ametor,Hydrophilidae
Ametor latus,112891,FALSE,,Hydrophilidae,Ametor,112890,Ametor,Hydrophilidae
Ametor scabrosus,112892,FALSE,,Hydrophilidae,Ametor,112890,Ametor,Hydrophilidae
Ametropus,101074,FALSE,,DNI,Ametropus,101074,Ametropus,DNI
Ametropus ammophilus,101077,FALSE,,DNI,Ametropus,101074,Ametropus,DNI
Amiocentrus,116933,FALSE,backed off due to COI data,Amiocentrus,Amiocentrus,116933,Amiocentrus,Amiocentrus
Amiocentrus aspilus,116934,FALSE,backed off due to COI data,Amiocentrus,Amiocentrus,116933,Amiocentrus,Amiocentrus
Amphiagrion,102093,FALSE,,Coenagrionidae,Coenagrionidae,102077,Coenagrionidae,DNI
Amphiagrion abbreviatum,102094,FALSE,,Coenagrionidae,Coenagrionidae,102077,Coenagrionidae,DNI
Amphibia,0,TRUE,Fish,DNI,DNI,FALSE,DNI,DNI
Amphicosmoecus,116253,FALSE,single species in genus,DNI,Amphicosmoecus,116253,Amphicosmoecus,DNI
Amphicosmoecus canax,116254,FALSE,single species in genus,DNI,Amphicosmoecus,116253,Amphicosmoecus,DNI
Amphinemura,102540,FALSE,,Malenka,Malenka,102567,Malenka,Malenka
Amphinemura/Malenka,102567,FALSE,,Malenka,Malenka,102567,Malenka,Malenka
Amphipoda,93294,FALSE,,DNI,Amphipoda,93294,Amphipoda,DNI
Amphizoa,111953,FALSE,,DNI,Amphizoa,111953,Amphizoa,DNI
Amphizoa insolens,111958,FALSE,,DNI,Amphizoa,111953,Amphizoa,DNI
Amphizoa lecontei,111961,FALSE,,DNI,Amphizoa,111953,Amphizoa,DNI
Amphizoidae,111952,FALSE,,DNI,Amphizoa,111953,Amphizoa,DNI
Ampumixis,114196,FALSE,only one species in Genus,Ampumixis dispar,Ampumixis,114196,Ampumixis,Ampumixis dispar
Ampumixis dispar,114197,FALSE,only one species in Genus,Ampumixis dispar,Ampumixis,114196,Ampumixis,Ampumixis dispar
Anacaena,112878,FALSE,,Hydrophilidae,Anacaena,112878,Anacaena,Hydrophilidae
Anafroptilum,-179,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,-268,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Neocloeon,0,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,-268,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Neocloeon/Procloeon,0,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,-268,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Procloeon,-268,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,-268,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anagapetus,117154,FALSE,,Anagapetus,Anagapetus,117154,Anagapetus,Anagapetus
Anax,101597,FALSE,,Aeshnidae,Anax,101597,Anax,DNI
Anax junius,101598,FALSE,,Aeshnidae,Anax,101597,Anax,DNI
Anchycteis,114266,FALSE,,DNI,Ptilodactylidae,114265,Ptilodactylidae,DNI
Anchycteis velutina,114267,FALSE,,DNI,Ptilodactylidae,114265,Ptilodactylidae,DNI
Ancylidae,76568,FALSE,,DNI,Ancylidae,76568,Ancylidae,DNI
Ancylinae,FALSE,FALSE,,DNI,Ancylidae,76568,Ancylidae,DNI
Anericorophium,FALSE,FALSE,,DNI,Americorophium,656484,Americorophium,DNI
Anisogammaridae,203113,FALSE,,Anisogammaridae,Anisogammaridae,203113,Anisogammaridae,DNI
Anisogammarus,93747,FALSE,,Anisogammaridae,Anisogammaridae,203113,Anisogammaridae,DNI
Anisoptera,101594,FALSE,,DNI,Anisoptera,101594,Anisoptera,DNI
Annelida,64357,TRUE,TOO COARSE,DNI,DNI,FALSE,DNI,DNI
Anodonta,79930,FALSE,,DNI,Anodonta,79930,Anodonta,DNI
Anodonta oregonsis,FALSE,FALSE,,DNI,Anodonta,79930,Anodonta,DNI
Anopheles,125956,FALSE,,DNI,Anopheles,125956,Anopheles,DNI
Anostraca,FALSE,TRUE,fairy shrimp,DNI,DNI,FALSE,DNI,DNI
Antillocladius,128470,FALSE,,DNI,Orthocladiinae,128457,Orthocladiinae,DNI
Antocha,119656,FALSE,,Antocha,Antocha,119656,Antocha,Antocha
Antocha monticola,119660,FALSE,,Antocha,Antocha,119656,Antocha,Antocha
Anura,FALSE,TRUE,Fish,DNI,DNI,FALSE,DNI,DNI
Apatania,115935,FALSE,,Apatania,Apatania,115935,Apatania,Apatania
Apatania sorex,115936,FALSE,,Apatania,Apatania,115935,Apatania,Apatania
Apataniidae,598182,FALSE,,DNI,Apataniidae,598182,Apataniidae,DNI
Apedilum,206655,FALSE,,Apedilum,Apedilum,206655,Apedilum,DNI
Apobaetis,100936,FALSE,,DNI,Apobaetis,100936,Apobaetis,DNI
Apobaetis indeprensus,FALSE,FALSE,,DNI,Apobaetis,100936,Apobaetis,DNI
Apsectrotanypus,128021,FALSE,,DNI,Apsectrotanypus,128021,Apsectrotanypus,DNI
Apsectrotanypus johnsoni,128024,FALSE,,DNI,Apsectrotanypus,128021,Apsectrotanypus,DNI
Aquarius,717547,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Aquarius nyctalis,717595,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Aquarius remigis,717592,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Arachnida,82708,TRUE,Terrestrial,DNI,DNI,FALSE,DNI,DNI
Araeopidius monachus,708487,FALSE,,DNI,Araeopidius monachus,708487,Araeopidius monachus,DNI
Archilestes,102059,FALSE,,DNI,Archilestes,102059,Archilestes,DNI
Archilestes californica,FALSE,FALSE,,DNI,Archilestes,102059,Archilestes,DNI
Archilestes grandis,102060,FALSE,,DNI,Archilestes,102059,Archilestes,DNI
Archoophora,53965,FALSE,,Trepaxonemata,Trepaxonemata,914204,Trepaxonemata,Trepaxonemata
Arcteonais,68975,FALSE,,Naidinae,Arcteonais,68975,Oligochaeta,Naidinae
Arcteonais lomondi,68976,FALSE,,DNI,Arcteonais,68975,Oligochaeta,Naidinae
Arctoconopa,120398,FALSE,extreme southern range dubius ID,DNI,Limoniidae,-233,Limoniidae,DNI
Arctopsyche,115529,FALSE,,Arctopsyche,Arctopsyche,115529,Arctopsyche,Arctopsyche
Arctopsyche californica,115538,FALSE,,Arctopsyche,Arctopsyche,115529,Arctopsyche,Arctopsyche
Arctopsyche grandis,115530,FALSE,,Arctopsyche,Arctopsyche,115529,Arctopsyche,Arctopsyche
Arctopsyche grandis type 1,FALSE,FALSE,,Arctopsyche,Arctopsyche,115529,Arctopsyche,Arctopsyche
Arctopsyche lagodensis complex,FALSE,FALSE,,Arctopsyche,Arctopsyche,115529,Arctopsyche,Arctopsyche
Arctopsychinae,568763,FALSE,,DNI,Arctopsychinae,568763,Arctopsychinae,DNI
Arctotipula,FALSE,FALSE,,Tipula,Tipula,119037,Tipula,Tipula
Argia,102139,FALSE,,Coenagrionidae,Argia,102139,Argia,Argia
Argia emma,102142,FALSE,,Coenagrionidae,Argia,102139,Argia,Argia
