"","Visit.ID","Total_Richness","E_Richness","P_Richness","T_Richness","Clin_Richness","LL_Richness","Intol_Richness","Dom_Abund","Tol_Abund","Pred_Abund","Tot_Abund","Tol_Percent","Pred_Percent","Dom_Percent","Tot_Richness_Score","E_Richness_Score","P_Richness_Score","T_Richness_Score","Cling_Richness_Score","LL_Richness_Score","Intol_Richness_Score","Dom_Percent_Score","Pred_Percent_Score","Tol_Percent_Score","Overall.Score.x","Agency.x","WRIA.Number.x","Basin.x","Subbasin.x","Stream.or.River","Project.x","Visit.Date","Year","Lab.Name","Site.Code.x","Latitude.x","Longitude.x","Row","Site.ID","WRIA.Number.y","WRIA","Basin.y","Subbasin.y","Stream","Agency.y","Project.y","Site.Code.y","Latitude.y","Longitude.y","Event.Date","Date.Released","Taxonomic.Resolution","Total.SqFt","Taxa.Richness.Quantity","Ephemeroptera.Richness.Quantity","Plecoptera.Richness.Quantity","Trichoptera.Richness.Quantity","EPT.Richness.Quantity","Clinger.Richness.Quantity","Long-Lived.Richness.Quantity","Intolerant.Richness.Quantity","Percent.Dominant.Quantity","Predator.Percent.Quantity","Tolerant.Percent.Quantity","Number.of.Organisms","Overall.Score.y","Taxa.Richness.Score","Ephemeroptera.Richness.Score","Plecoptera.Richness.Score","Trichoptera.Richness.Score","Clinger.Richness.Score","Long-Lived.Richness.Score","Intolerant.Richness.Score","Percent.Dominant.Score","Predator.Percent.Score","Tolerant.Percent.Score","diff"
"1",2,21,2,3,3,10,6,0,111,1,19,188,0.531914893617021,10.1063829787234,59.0425531914894,2.38095238095238,1.42857142857143,2.85714285714286,2.5,2.94117647058824,5,0,6.04143337066069,4.5531914893617,9.87629886194953,37.5787668592268,"King County - Roads",8,"Sammamish River Basin","Bear Creek Subbasin","Struve Creek","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","E1261",47.752179,-122.053336,1096,276,8,"WRIA 8 - Cedar-Sammamish","Sammamish River Basin","Bear Creek Subbasin","Struve Creek","King County - Roads","ESA Water Quality","E1261",47.752179,-122.053336,38958,39622,"Coarse",3,21,2,3,3,8,10,6,0,0.59,0.101,0.005,188,37.6,2.4,1.4,2.9,2.5,2.9,5,0,6.1,4.6,9.9,-0.0212331407731767
"2",3,20,3,4,5,10,7,0,155,2,21,234,0.854700854700855,8.97435897435897,66.2393162393162,1.9047619047619,2.85714285714286,4.28571428571429,5,2.94117647058824,6.25,0,4.14754835807467,3.98717948717949,9.80123235937189,41.1747557228333,"King County - Roads",8,"Sammamish River Basin","Bear Creek Subbasin","Cottage Lake Creek tributary","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","E1264",47.730382,-122.079114,964,277,8,"WRIA 8 - Cedar-Sammamish","Sammamish River Basin","Bear Creek Subbasin","Cottage Lake Creek tributary","King County - Roads","ESA Water Quality","E1264",47.730382,-122.079114,38959,39622,"Coarse",3,20,3,4,5,12,10,7,0,0.662,0.09,0.009,234,41.2,1.9,2.9,4.3,5,2.9,6.2,0,4.2,4,9.8,-0.0252442771666637
"3",8,30,7,6,4,19,8,6,114,1,35,243,0.411522633744856,14.40329218107,46.9135802469136,6.66666666666667,8.57142857142857,7.14285714285714,3.75,8.23529411764706,7.5,8.57142857142857,9.23326835607537,6.70164609053498,9.9042970619198,76.2768865785582,"King County - Roads",7,"Lower Snoqualmie Basin","Cherry Creek Subbasin","Cherry Creek - N Fork tributary","ESA Water Quality","2006-08-28",2006,"ABR, Inc.","E1239",47.763669,-121.927195,145,281,7,"WRIA 7 - Snohomish","Lower Snoqualmie Basin","Cherry Creek Subbasin","Cherry Creek - N Fork tributary","King County - Roads","ESA Water Quality","E1239",47.763669,-121.927195,38957,39622,"Coarse",3,30,7,6,4,17,19,8,6,0.469,0.144,0.004,243,76.3,6.7,8.6,7.1,3.8,8.2,7.5,8.6,9.2,6.7,9.9,-0.0231134214418347
"4",9,28,6,5,6,17,9,6,111,3,25,255,1.17647058823529,9.80392156862745,43.5294117647059,5.71428571428571,7.14285714285714,5.71428571428571,6.25,7.05882352941176,8.75,8.57142857142857,10,4.40196078431373,9.72640218878249,73.3300436453651,"King County - Roads",7,"Lower Snoqualmie Basin","Cherry Creek Subbasin","Cherry Creek - N Fork","ESA Water Quality","2006-08-28",2006,"ABR, Inc.","E1078",47.750501,-121.911981,136,282,7,"WRIA 7 - Snohomish","Lower Snoqualmie Basin","Cherry Creek Subbasin","Cherry Creek - N Fork","King County - Roads","ESA Water Quality","E1078",47.750501,-121.911981,38957,39622,"Coarse",3,28,6,5,6,17,17,9,6,0.435,0.098,0.012,255,73.3,5.7,7.1,5.7,6.2,7.1,8.8,8.6,10,4.4,9.7,0.0300436453651258
"5",10,24,5,5,3,15,10,2,48,0,25,148,0,16.8918918918919,32.4324324324324,3.80952380952381,5.71428571428571,5.71428571428571,2.5,5.88235294117647,10,2.85714285714286,10,7.94594594594595,10,64.4235369823605,"King County - Roads",7,"Lower Snoqualmie Basin","Cherry Creek Subbasin","Cherry Creek tributary","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","E1076",47.740329,-121.906761,148,283,7,"WRIA 7 - Snohomish","Lower Snoqualmie Basin","Cherry Creek Subbasin","Cherry Creek tributary","King County - Roads","ESA Water Quality","E1076",47.740329,-121.906761,38959,39622,"Coarse",3,24,5,5,3,13,15,10,2,0.324,0.169,0,148,64.4,3.8,5.7,5.7,2.5,5.9,10,2.9,10,8,10,0.0235369823604969
"6",12,39,9,9,7,24,10,7,332,3,52,454,0.66079295154185,11.4537444933921,73.1277533039648,10,10,10,7.5,10,10,10,2.33480176211453,5.22687224669604,9.84632722057166,84.9080012293822,"King County - Roads",9,"Duwamish - Green River Basin","Coal Creek (Green) Subbasin","Coal Creek (Green River)","ESA Water Quality","2006-09-07",2006,"ABR, Inc.","E375",47.268727,-121.915521,1595,285,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Coal Creek (Green) Subbasin","Coal Creek (Green River)","King County - Roads","ESA Water Quality","E375",47.268727,-121.915521,38967,39622,"Coarse",3,39,9,9,7,25,24,10,7,0.731,0.115,0.007,454,84.9,10,10,10,7.5,10,10,10,2.3,5.3,9.8,0.00800122938223069
"7",13,33,8,6,6,20,10,8,190,10,80,495,2.02020202020202,16.1616161616162,38.3838383838384,8.09523809523809,10,7.14285714285714,6.25,8.82352941176471,10,10,10,7.58080808080808,9.53018557669721,87.4226183073652,"King County - Roads",7,"Lower Snoqualmie Basin","Kimball Creek Subbasin","Coal Creek (Snoqualmie River)","ESA Water Quality","2006-08-31",2006,"ABR, Inc.","E1191",47.526182,-121.837064,234,286,7,"WRIA 7 - Snohomish","Lower Snoqualmie Basin","Kimball Creek Subbasin","Coal Creek (Snoqualmie River)","King County - Roads","ESA Water Quality","E1191",47.526182,-121.837064,38960,39622,"Coarse",3,33,8,6,6,20,20,10,8,0.384,0.162,0.02,495,87.4,8.1,10,7.1,6.2,8.8,10,10,10,7.6,9.5,0.0226183073652209
"8",16,29,6,4,6,16,9,3,69,3,15,128,2.34375,11.71875,53.90625,6.19047619047619,7.14285714285714,4.28571428571429,6.25,6.47058823529412,8.75,4.28571428571429,7.39309210526316,5.359375,9.45494186046512,65.5827591057843,"King County - Roads",9,"Duwamish - Green River Basin","Deep Creek Subbasin","Deep Creek (Green River)","ESA Water Quality","2006-09-07",2006,"ABR, Inc.","E365/366",47.285648,-121.923668,1623,290,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Deep Creek Subbasin","Deep Creek (Green River)","King County - Roads","ESA Water Quality","E365/366",47.285648,-121.923668,38967,39622,"Coarse",3,29,6,4,6,16,16,9,3,0.539,0.117,0.023,128,65.6,6.2,7.1,4.3,6.2,6.5,8.8,4.3,7.4,5.4,9.5,-0.0172408942157034
"9",18,10,2,1,0,4,3,1,48,9,2,56,16.0714285714286,3.57142857142857,85.7142857142857,0,1.42857142857143,0,0,0,1.25,1.42857142857143,0,1.28571428571429,6.2624584717608,11.6553156146179,"King County - Roads",9,"Duwamish - Green River Basin","Duwamish River Subbasin","Duwamish River tributary (0003)","ESA Water Quality","2006-09-11",2006,"ABR, Inc.","E2223",47.502222,-122.299772,1643,291,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Duwamish River Subbasin","Duwamish River tributary (0003)","King County - Roads","ESA Water Quality","E2223",47.502222,-122.299772,38971,39622,"Coarse",3,10,2,1,0,3,4,3,1,0.857,0.036,0.161,56,11.7,0,1.4,0,0,0,1.2,1.4,0,1.3,6.3,-0.0446843853820589
"10",19,26,8,8,4,16,6,5,240,1,32,353,0.28328611898017,9.06515580736544,67.9886685552408,4.76190476190476,10,10,3.75,6.47058823529412,5,7.14285714285714,3.68719248546295,4.03257790368272,9.93411950721391,64.7792400364156,"King County - Roads",8,"Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek - E Fork","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","E195",47.526245,-121.940341,1270,292,8,"WRIA 8 - Cedar-Sammamish","Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek - E Fork","King County - Roads","ESA Water Quality","E195",47.526245,-121.940341,38958,39622,"Coarse",3,26,8,8,4,20,16,6,5,0.68,0.091,0.003,353,64.8,4.8,10,10,3.8,6.5,5,7.1,3.7,4.1,9.9,-0.020759963584382
