"","Visit.ID","Total_Richness","E_Richness","P_Richness","T_Richness","Clin_Richness","LL_Richness","Intol_Richness","Dom_Abund","Tol_Abund","Pred_Abund","Tot_Abund","Tol_Percent","Pred_Percent","Dom_Percent","Tot_Richness_Score","E_Richness_Score","P_Richness_Score","T_Richness_Score","Cling_Richness_Score","LL_Richness_Score","Intol_Richness_Score","Dom_Percent_Score","Pred_Percent_Score","Tol_Percent_Score","Overall.Score.x","Agency.x","WRIA.Number.x","Basin.x","Subbasin.x","Stream.or.River","Project.x","Visit.Date","Year","Lab.Name","Site.Code.x","Latitude.x","Longitude.x","Row","Site.ID","WRIA.Number.y","WRIA","Basin.y","Subbasin.y","Stream","Agency.y","Project.y","Site.Code.y","Latitude.y","Longitude.y","Event.Date","Date.Released","Taxonomic.Resolution","Total.SqFt","Taxa.Richness.Quantity","Ephemeroptera.Richness.Quantity","Plecoptera.Richness.Quantity","Trichoptera.Richness.Quantity","EPT.Richness.Quantity","Clinger.Richness.Quantity","Long-Lived.Richness.Quantity","Intolerant.Richness.Quantity","Percent.Dominant.Quantity","Predator.Percent.Quantity","Tolerant.Percent.Quantity","Number.of.Organisms","Overall.Score.y","Taxa.Richness.Score","Ephemeroptera.Richness.Score","Plecoptera.Richness.Score","Trichoptera.Richness.Score","Clinger.Richness.Score","Long-Lived.Richness.Score","Intolerant.Richness.Score","Percent.Dominant.Score","Predator.Percent.Score","Tolerant.Percent.Score"
"1",2123,26,2,2,1,6,4,0,278,99,76,443,22.3476297968397,17.1557562076749,62.7539503386004,0,1.42857142857143,1.42857142857143,0,0,2.5,0,1.68812153010799,8.07787810383747,4.80287679143262,19.9260192825209,"King County - DNRP",8,"Cedar River / Lake Washington Basin","Mercer Is. Subbasin","Mercer Is. unnamed tributary","Mercer Island","1999-09-17",1999,"Rhithron Associates, Inc.","MERCER06",47.583458,-122.22437,72,63,8,"WRIA 8 - Cedar-Sammamish","Cedar River / Lake Washington Basin","Mercer Is. Subbasin","Mercer Is. unnamed tributary","King County - DNRP","Mercer Island","MERCER06",47.583458,-122.22437,36420,40035,"Fine",3,26,2,2,1,5,6,4,0,0.628,0.172,0.223,443,19.9,0,1.4,1.4,0,0,2.5,0,1.7,8.1,4.8
"2",2124,10,0,0,0,2,0,0,231,99,0,252,39.2857142857143,0,91.6666666666667,0,0,0,0,0,0,0,0,0,0.863787375415283,0.863787375415283,"King County - DNRP",8,"Cedar River / Lake Washington Basin","Mercer Is. Subbasin","Mercer Is. unnamed tributary","Mercer Island","1999-09-17",1999,"Rhithron Associates, Inc.","MERCER10",47.591103,-122.23574,73,64,8,"WRIA 8 - Cedar-Sammamish","Cedar River / Lake Washington Basin","Mercer Is. Subbasin","Mercer Is. unnamed tributary","King County - DNRP","Mercer Island","MERCER10",47.591103,-122.23574,36420,40035,"Fine",3,10,0,0,0,0,2,0,0,0.917,0,0.393,252,0.9,0,0,0,0,0,0,0,0,0,0.9
"3",2125,21,1,0,0,6,3,0,511,338,25,808,41.8316831683168,3.09405940594059,63.2425742574257,0,0,0,0,0,1.25,0,1.55606101150656,1.0470297029703,0.271701588763529,4.12479230324038,"King County - DNRP",8,"Cedar River / Lake Washington Basin","Mercer Is. Subbasin","Mercer Is. unnamed tributary","Mercer Island","1999-09-17",1999,"Rhithron Associates, Inc.","MERCER29",47.54946,-122.234146,74,66,8,"WRIA 8 - Cedar-Sammamish","Cedar River / Lake Washington Basin","Mercer Is. Subbasin","Mercer Is. unnamed tributary","King County - DNRP","Mercer Island","MERCER29",47.54946,-122.234146,36420,40035,"Fine",3,21,1,0,0,1,6,3,0,0.632,0.031,0.418,808,4.1,0,0,0,0,0,1.2,0,1.6,1,0.3
"4",2932,53,3,2,3,11,9,1,99,24,81,350,6.85714285714286,23.1428571428571,28.2857142857143,8.96551724137931,2.85714285714286,1.42857142857143,2.5,2.35294117647059,8.75,1.42857142857143,10,10,8.40531561461794,56.6880597467536,"Washington State Department of Ecology",8,"Cedar River / Lake Washington Basin","Coal Creek (Cedar) Subbasin","Coal Creek (Lake Wash.)","WatershedHealth_WAM0","2009-08-12",2009,"Rhithron Associates, Inc.","WAM06600-000391",47.559868,-122.170088,44,994,8,"WRIA 8 - Cedar-Sammamish","Cedar River / Lake Washington Basin","Coal Creek (Cedar) Subbasin","Coal Creek (Lake Wash.)","Washington State Department of Ecology","WatershedHealth_WAM0","WAM06600-000391",47.559868,-122.170088,40037,40336,"Fine",8,53,3,2,3,8,11,9,1,0.283,0.231,0.069,350,56.7,9,2.9,1.4,2.5,2.4,8.8,1.4,10,10,8.4
"5",3389,58,10,7,8,26,10,10,228,6,30,534,1.12359550561798,5.61797752808989,42.6966292134831,10,10,8.57142857142857,8.75,10,10,10,7.10901913149104,2.30898876404494,9.73869871962373,86.4781351865883,"Washington State Department of Ecology",1,"Whatcom-Chuckanut Basin","Bellingham Bay Subbasin","Chuckanut Creek","Ambient Freshwater Biological Monitoring Program","2010-07-13",2010,"Rhithron Associates, Inc.","BIO06600-CHUD02",48.7017,-122.488,2,2538,1,"WRIA 1 - Nooksack","Whatcom-Chuckanut Basin","Bellingham Bay Subbasin","Chuckanut Creek","Washington State Department of Ecology","Ambient Freshwater Biological Monitoring Program","BIO06600-CHUD02",48.7017,-122.488,40372,40654,"Fine",8,58,10,7,8,25,26,10,10,0.427,0.056,0.011,534,86.5,10,10,8.6,8.8,10,10,10,7.1,2.3,9.7
"6",3548,58,9,5,6,25,7,4,233,7,32,555,1.26126126126126,5.76576576576577,41.981981981982,10,10,5.71428571428571,6.25,10,6.25,5.71428571428571,7.30216703189676,2.38288288288288,9.70668342761366,73.3203047709647,"Washington State Department of Ecology",7,"Lower Snoqualmie Basin","Griffin Creek Subbasin","Griffin Creek","Status and Trends WA Statewide Sentinel Site Monitoring","2010-08-31",2010,"Rhithron Associates, Inc.","SEN06600-GRIF09",47.60463,-121.88505,11,1235,7,"WRIA 7 - Snohomish","Lower Snoqualmie Basin","Griffin Creek Subbasin","Griffin Creek","Washington State Department of Ecology","Status and Trends WA Statewide Sentinel Site Monitoring","SEN06600-GRIF09",47.60463,-121.88505,40421,40672,"Fine",8,58,9,5,6,20,25,7,4,0.42,0.058,0.013,555,73.3,10,10,5.7,6.2,10,6.2,5.7,7.3,2.4,9.7
"7",4718,50,6,7,9,20,9,3,208,78,56,548,14.2335766423358,10.2189781021898,37.956204379562,7.93103448275862,7.14285714285714,8.57142857142857,10,7.64705882352941,8.75,4.28571428571429,8.3902150325508,4.60948905109489,6.68986589713122,74.0176632870649,"King County - DNRP",9,"Puget Sound (Duwamish-Green) Basin","Vashon-Maury Island Subbasin","Judd Creek","Vashon","2012-09-10",2012,"Rhithron Associates, Inc.","VashJudd",47.40993,-122.47088,245,273,9,"WRIA 9 - Duwamish-Green","Puget Sound (Duwamish-Green) Basin","Vashon-Maury Island Subbasin","Judd Creek","King County - DNRP","Vashon","VashJudd",47.40993,-122.47088,41162,41344,"Fine",8,50,6,7,9,22,20,9,3,0.38,0.102,0.142,548,74,7.9,7.1,8.6,10,7.6,8.8,4.3,8.4,4.6,6.7
"8",4720,52,4,8,7,19,9,3,256,164,59,567,28.9241622574956,10.4056437389771,45.1499118165785,8.62068965517241,4.28571428571429,10,7.5,7.05882352941176,8.75,4.28571428571429,6.44596977930311,4.70282186948854,3.27345063779172,64.9231840425961,"King County - DNRP",9,"Duwamish - Green River Basin","Jenkins Creek Subbasin","Jenkins Creek","Ambient Monitoring","2012-09-06",2012,"Rhithron Associates, Inc.","09JEN1358",47.373126,-122.097164,199,236,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Jenkins Creek Subbasin","Jenkins Creek","King County - DNRP","Ambient Monitoring","09JEN1358",47.373126,-122.097164,41158,41358,"Fine",8,52,4,8,7,19,19,9,3,0.451,0.104,0.289,567,64.9,8.6,4.3,10,7.5,7.1,8.8,4.3,6.5,4.7,3.3
"9",4727,36,3,6,5,13,7,1,299,79,116,544,14.5220588235294,21.3235294117647,54.9632352941177,3.10344827586207,2.85714285714286,7.14285714285714,5,3.52941176470588,6.25,1.42857142857143,3.79372019077901,10,6.62277701778386,49.7279286777023,"King County - DNRP",9,"Duwamish - Green River Basin","Covington Creek Subbasin","Covington Creek","Ambient Monitoring","2012-09-05",2012,"Rhithron Associates, Inc.","09COV1798",47.340638,-122.017593,186,221,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Covington Creek Subbasin","Covington Creek","King County - DNRP","Ambient Monitoring","09COV1798",47.340638,-122.017593,41157,41466,"Fine",8,36,3,6,5,14,13,7,1,0.55,0.213,0.145,544,49.7,3.1,2.9,7.1,5,3.5,6.2,1.4,3.8,10,6.6
"10",5447,47,6,4,4,16,8,3,215,141,27,570,24.7368421052632,4.73684210526316,37.719298245614,6.89655172413793,7.14285714285714,4.28571428571429,3.75,5.29411764705882,7.5,4.28571428571429,8.45424371740161,1.86842105263158,4.24724602203182,53.7248658775475,"King County - DNRP",9,"Duwamish - Green River Basin","Newaukum Creek Subbasin","Newaukum Creek","Ambient Monitoring","2013-08-15",2013,"Rhithron Associates, Inc.","09NEW1875",47.220818,-121.997846,217,255,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Newaukum Creek Subbasin","Newaukum Creek","King County - DNRP","Ambient Monitoring","09NEW1875",47.220818,-121.997846,41501,42303,"Fine",8,47,6,4,4,14,16,8,3,0.377,0.047,0.247,570,53.7,6.9,7.1,4.3,3.8,5.3,7.5,4.3,8.5,1.9,4.3
