"","Visit.ID","Total_Richness","E_Richness","P_Richness","T_Richness","Clin_Richness","LL_Richness","Intol_Richness","Dom_Abund","Tol_Abund","Pred_Abund","Tot_Abund","Tol_Percent","Pred_Percent","Dom_Percent","Tot_Richness_Score","E_Richness_Score","P_Richness_Score","T_Richness_Score","Cling_Richness_Score","LL_Richness_Score","Intol_Richness_Score","Dom_Percent_Score","Pred_Percent_Score","Tol_Percent_Score","Overall.Score.x","Agency.x","WRIA.Number.x","Basin.x","Subbasin.x","Stream.or.River","Project.x","Visit.Date","Year","Lab.Name","Site.Code.x","Latitude.x","Longitude.x","Row","Site.ID","WRIA.Number.y","WRIA","Basin.y","Subbasin.y","Stream","Agency.y","Project.y","Site.Code.y","Latitude.y","Longitude.y","Event.Date","Date.Released","Taxonomic.Resolution","Total.SqFt","Taxa.Richness.Quantity","Ephemeroptera.Richness.Quantity","Plecoptera.Richness.Quantity","Trichoptera.Richness.Quantity","EPT.Richness.Quantity","Clinger.Richness.Quantity","Long-Lived.Richness.Quantity","Intolerant.Richness.Quantity","Percent.Dominant.Quantity","Predator.Percent.Quantity","Tolerant.Percent.Quantity","Number.of.Organisms","Overall.Score.y","Taxa.Richness.Score","Ephemeroptera.Richness.Score","Plecoptera.Richness.Score","Trichoptera.Richness.Score","Clinger.Richness.Score","Long-Lived.Richness.Score","Intolerant.Richness.Score","Percent.Dominant.Score","Predator.Percent.Score","Tolerant.Percent.Score","diff"
"1",218,24,2,5,8,19,8,4,308,21,48,500,4.2,9.6,61.6,3.80952380952381,1.42857142857143,5.71428571428571,8.75,8.23529411764706,7.5,5.71428571428571,5.36842105263158,4.3,9.02325581395349,59.8436376508988,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2006-08-31",2006,"ABR, Inc.","09SOO1130",47.31817,-122.135959,18,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,38960,45587,"Coarse",3,24,2,5,8,15,19,8,4,0.616,0.096,0.042,500,59.8,3.8,1.4,5.7,8.8,8.2,7.5,5.7,5.4,4.3,9,0.0436376508987948
"2",590,34,6,5,6,24,10,8,267,98,35,500,19.6,7,53.4,8.57142857142857,7.14285714285714,5.71428571428571,6.25,10,10,10,7.52631578947368,3,5.44186046511628,73.6467476831614,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2008-08-18",2008,"ABR, Inc.","09SOO1130",47.31817,-122.135959,16,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,39678,45587,"Coarse",3,34,6,5,6,17,24,10,8,0.534,0.07,0.196,500,73.6,8.6,7.1,5.7,6.2,10,10,10,7.5,3,5.4,0.0467476831613993
"3",928,24,6,4,5,17,6,4,363,22,18,500,4.4,3.6,72.6,3.80952380952381,7.14285714285714,4.28571428571429,5,7.05882352941176,5,5.71428571428571,2.47368421052632,1.3,8.97674418604651,50.7616328783655,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2005-09-07",2005,"ABR, Inc.","09SOO1130",47.31817,-122.135959,19,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,38602,45587,"Coarse",3,24,6,4,5,15,17,6,4,0.726,0.036,0.044,500,50.8,3.8,7.1,4.3,5,7.1,5,5.7,2.5,1.3,9,-0.0383671216344581
"4",1935,34,8,6,8,23,7,6,251,20,31,500,4,6.2,50.2,8.57142857142857,10,7.14285714285714,8.75,10,6.25,8.57142857142857,8.36842105263158,2.6,9.06976744186047,79.3239027802063,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2003-08-11",2003,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,20,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,37844,45587,"Coarse",3,34,8,6,8,22,23,7,6,0.502,0.062,0.04,500,79.3,8.6,10,7.1,8.8,10,6.2,8.6,8.4,2.6,9.1,0.0239027802063134
"5",2200,29,4,6,5,21,9,4,247,70,56,500,14,11.2,49.4,6.19047619047619,4.28571428571429,7.14285714285714,5,9.41176470588235,8.75,5.71428571428571,8.57894736842105,5.1,6.74418604651163,66.9182314541484,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2007-08-15",2007,"ABR, Inc.","09SOO1130",47.31817,-122.135959,17,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,39309,45587,"Coarse",3,29,4,6,5,15,21,9,4,0.494,0.112,0.14,500,66.9,6.2,4.3,7.1,5,9.4,8.8,5.7,8.6,5.1,6.7,0.0182314541483635
"6",2331,27,5,6,7,20,7,5,319,4,29,500,0.8,5.8,63.8,5.23809523809524,5.71428571428571,7.14285714285714,7.5,8.82352941176471,6.25,7.14285714285714,4.78947368421052,2.4,9.81395348837209,64.8150518224426,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2002-09-30",2002,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,21,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,37529,45587,"Coarse",3,27,5,6,7,18,20,7,5,0.638,0.058,0.008,500,64.8,5.2,5.7,7.1,7.5,8.8,6.2,7.1,4.8,2.4,9.8,0.0150518224425724
"7",2428,29,4,7,6,19,8,6,222,42,95,500,8.4,19,44.4,6.19047619047619,4.28571428571429,8.57142857142857,6.25,8.23529411764706,7.5,8.57142857142857,9.89473684210526,9,8.04651162790698,76.5455902067069,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2009-08-05",2009,"ABR, Inc.","09SOO1130",47.31817,-122.135959,15,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,40030,45587,"Coarse",3,29,4,7,6,17,19,8,7,0.444,0.19,0.084,500,78,6.2,4.3,8.6,6.2,8.2,7.5,10,9.9,9,8,-1.45440979329308
"8",2977,27,3,7,7,18,9,5,318,10,47,500,2,9.4,63.6,5.23809523809524,2.85714285714286,8.57142857142857,7.5,7.64705882352941,8.75,7.14285714285714,4.84210526315789,4.2,9.53488372093023,66.2835716171413,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2010-09-20",2010,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,14,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,40441,45587,"Coarse",3,27,3,7,7,17,18,9,5,0.636,0.094,0.02,500,66.3,5.2,2.9,8.6,7.5,7.6,8.8,7.1,4.8,4.2,9.5,-0.0164283828586491
"9",3758,23,3,8,5,16,8,4,386,318,32,500,63.6,6.4,77.2,3.33333333333333,2.85714285714286,10,5,6.47058823529412,7.5,5.71428571428571,1.26315789473684,2.7,0,44.8385080347929,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2011-09-15",2011,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,13,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,40801,45587,"Coarse",3,23,3,8,5,16,16,8,4,0.772,0.064,0.636,500,44.8,3.3,2.9,10,5,6.5,7.5,5.7,1.3,2.7,0,0.0385080347928692
"10",4667,28,3,5,6,16,9,4,291,112,30,500,22.4,6,58.2,5.71428571428571,2.85714285714286,5.71428571428571,6.25,6.47058823529412,8.75,5.71428571428571,6.26315789473684,2.5,4.7906976744186,55.0244438044496,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2012-08-21",2012,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,12,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,41142,45587,"Coarse",8,28,3,5,6,14,16,9,4,0.582,0.06,0.224,500,55,5.7,2.9,5.7,6.2,6.5,8.8,5.7,6.3,2.5,4.8,0.024443804449561
