Sample ID	Visit ID	Site ID	WRIA Number	WRIA	Basin	Subbasin	Stream or River	Agency	Project	Site Code	Visit Date	Date Released	Latitude	Longitude	Lab Name	Sample Code	QC Replicate Of Sample Code	Collection Count	Positions In Stream	Surface Area	Surface Area Units	Taxa Effort	Deficiency Notes	QA/QC Result	Sampling Grid Squares Counted	Total Sampling Grid Squares	Taxon Serial Number	Taxon	Quantity	Quantity Subsampling	Life Stage	Unique	Damaged	Immature	Outside Protocol	Wrong Gender	Non-B-IBI	Predator	Long Lived	Tolerant	Intolerant	Clinger	Fine Sediment Sensitivity Index	Hilsenhoff Biotic Tolerance Index	Metals Tolerance Index	Rank	Phylum	Subphylum	Superclass	Class	Subclass	Infraclass	Superorder	Order	Suborder	Infraorder	Superfamily	Family	Subfamily	Custom Subfamily	Tribe	Genus Group	Subtribe	Genus	Species Group	Subgenus	Species	Subspecies
16626	11358	3071					Tributary to Portage Creek	Washington State Department of Ecology	Stormwater Action Monitoring for Puget Small Streams	PSS05515-013860	10/7/2020	5/14/2021	48.178060	-122.131400	Rhithron Associates, Inc.	PSS05515-013860-DCE-2020-1007-11:05		8	Reach Wide Composite	8.00	ft2	Fine			9	30	-156	Cystobranchus salmositicus	1	1	not specified	True	False	False	False	False	False	True	True	False	False	False		10		Species	Annelida			Clitellata	Hirudinea	Euhirudinea		Rhynchobdellida				Piscicolidae	Piscicolinae					Cystobranchus			salmositicus	
16626	11358	3071					Tributary to Portage Creek	Washington State Department of Ecology	Stormwater Action Monitoring for Puget Small Streams	PSS05515-013860	10/7/2020	5/14/2021	48.178060	-122.131400	Rhithron Associates, Inc.	PSS05515-013860-DCE-2020-1007-11:05		8	Reach Wide Composite	8.00	ft2	Fine			9	30	-200	Chamaedrilus	1	1	not specified	True	False	False	False	False	False	False	False	False	False	False		10		Genus	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Enchytraeidae						Chamaedrilus				
16626	11358	3071					Tributary to Portage Creek	Washington State Department of Ecology	Stormwater Action Monitoring for Puget Small Streams	PSS05515-013860	10/7/2020	5/14/2021	48.178060	-122.131400	Rhithron Associates, Inc.	PSS05515-013860-DCE-2020-1007-11:05		8	Reach Wide Composite	8.00	ft2	Fine			9	30	204785	Fridericia	1	1	not specified	True	False	False	False	False	False	False	False	False	False	False		10		Genus	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Enchytraeidae						Fridericia				
16626	11358	3071					Tributary to Portage Creek	Washington State Department of Ecology	Stormwater Action Monitoring for Puget Small Streams	PSS05515-013860	10/7/2020	5/14/2021	48.178060	-122.131400	Rhithron Associates, Inc.	PSS05515-013860-DCE-2020-1007-11:05		8	Reach Wide Composite	8.00	ft2	Fine			9	30	68544	Mesenchytraeus	2	2	not specified	True	False	False	False	False	False	False	False	False	False	False		10		Genus	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Enchytraeidae						Mesenchytraeus				
16626	11358	3071					Tributary to Portage Creek	Washington State Department of Ecology	Stormwater Action Monitoring for Puget Small Streams	PSS05515-013860	10/7/2020	5/14/2021	48.178060	-122.131400	Rhithron Associates, Inc.	PSS05515-013860-DCE-2020-1007-11:05		8	Reach Wide Composite	8.00	ft2	Fine			9	30	68854	Naididae	1	1	not specified	True	False	False	False	False	False	False	False	False	False	False		5		Family	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Naididae										
16626	11358	3071					Tributary to Portage Creek	Washington State Department of Ecology	Stormwater Action Monitoring for Puget Small Streams	PSS05515-013860	10/7/2020	5/14/2021	48.178060	-122.131400	Rhithron Associates, Inc.	PSS05515-013860-DCE-2020-1007-11:05		8	Reach Wide Composite	8.00	ft2	Fine			9	30	-138	Tubificinae	1	1	not specified	True	False	False	False	False	False	False	False	False	False	False		5		Subfamily	Annelida			Clitellata	Oligochaeta			Haplotaxida	Tubificina			Naididae	Tubificinae									
16626	11358	3071					Tributary to Portage Creek	Washington State Department of Ecology	Stormwater Action Monitoring for Puget Small Streams	PSS05515-013860	10/7/2020	5/14/2021	48.178060	-122.131400	Rhithron Associates, Inc.	PSS05515-013860-DCE-2020-1007-11:05		8	Reach Wide Composite	8.00	ft2	Fine			9	30	68440	Lumbriculidae	68	68	not specified	True	False	False	False	False	False	False	False	False	False	False		8		Family	Annelida			Clitellata	Oligochaeta			Lumbriculida				Lumbriculidae										
16626	11358	3071					Tributary to Portage Creek	Washington State Department of Ecology	Stormwater Action Monitoring for Puget Small Streams	PSS05515-013860	10/7/2020	5/14/2021	48.178060	-122.131400	Rhithron Associates, Inc.	PSS05515-013860-DCE-2020-1007-11:05		8	Reach Wide Composite	8.00	ft2	Fine			9	30	733326	Oribatida	3	3	adult	True	False	False	False	False	False	False	False	False	False	False				Suborder	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Sarcoptiformes	Oribatida													
16626	11358	3071					Tributary to Portage Creek	Washington State Department of Ecology	Stormwater Action Monitoring for Puget Small Streams	PSS05515-013860	10/7/2020	5/14/2021	48.178060	-122.131400	Rhithron Associates, Inc.	PSS05515-013860-DCE-2020-1007-11:05		8	Reach Wide Composite	8.00	ft2	Fine			9	30	83034	Lebertia	14	14	adult	True	False	False	False	False	False	False	False	False	False	False		8		Genus	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Lebertiidae						Lebertia				
16626	11358	3071					Tributary to Portage Creek	Washington State Department of Ecology	Stormwater Action Monitoring for Puget Small Streams	PSS05515-013860	10/7/2020	5/14/2021	48.178060	-122.131400	Rhithron Associates, Inc.	PSS05515-013860-DCE-2020-1007-11:05		8	Reach Wide Composite	8.00	ft2	Fine			9	30	82859	Neoacarus	1	1	adult	True	False	False	False	False	False	False	False	False	False	False				Genus	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Neoacaridae						Neoacarus				
